DATE,GDPC1
2017-01-01,17925.256
2017-04-01,18021.048
2017-07-01,18163.558
2017-10-01,18322.464
2018-01-01,18438.254
2018-04-01,18598.135
2018-07-01,18732.72
2018-10-01,18783.548
